GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-notificaciones,com.saludrednorte.ms_notificaciones.scheduler,NotificationScheduler,21,21,0,0,9,9,1,3,1,3
ms-notificaciones,com.saludrednorte.ms_notificaciones.exception,GlobalExceptionHandler,159,7,0,0,30,2,4,2,4,2
ms-notificaciones,com.saludrednorte.ms_notificaciones,MsNotificacionesApplication,5,3,0,0,2,1,1,1,1,1
ms-notificaciones,com.saludrednorte.ms_notificaciones.controller,NotificationInfoController,22,9,0,0,7,4,2,2,2,2
ms-notificaciones,com.saludrednorte.ms_notificaciones.controller,NotificationController,39,68,3,1,7,15,5,5,3,5
ms-notificaciones,com.saludrednorte.ms_notificaciones.service,NotificationService,82,126,9,7,11,30,9,10,2,9
ms-notificaciones,com.saludrednorte.ms_notificaciones.service.strategy,PushNotificationStrategy,15,9,0,0,5,3,1,3,1,3
ms-notificaciones,com.saludrednorte.ms_notificaciones.service.strategy,EmailNotificationStrategy,0,24,0,0,0,8,0,4,0,4
ms-notificaciones,com.saludrednorte.ms_notificaciones.service.strategy,SMSNotificationStrategy,15,9,0,0,5,3,1,3,1,3
ms-notificaciones,com.saludrednorte.ms_notificaciones.dto,ChannelInfoDTO,23,0,0,0,8,0,5,0,5,0
ms-notificaciones,com.saludrednorte.ms_notificaciones.dto,NotificationResponseDTO,4,82,0,0,2,34,1,17,1,17
ms-notificaciones,com.saludrednorte.ms_notificaciones.dto,NotificationRequestDTO,0,36,0,0,0,16,0,8,0,8
ms-notificaciones,com.saludrednorte.ms_notificaciones.dto,NotificationMapper,0,41,0,0,0,15,0,3,0,3
ms-notificaciones,com.saludrednorte.ms_notificaciones.entity,Notification,0,69,0,0,0,21,0,17,0,17
ms-notificaciones,com.saludrednorte.ms_notificaciones.entity,TipoNotificacion,3,60,0,0,1,11,1,2,1,2
ms-notificaciones,com.saludrednorte.ms_notificaciones.entity,EstadoNotificacion,3,39,0,0,1,8,1,2,1,2
ms-notificaciones,com.saludrednorte.ms_notificaciones.service.factory,NotificationStrategyFactory,15,32,0,0,3,9,3,4,3,4
